甘	503	(⿴,廿,一)	.
會	21569	(⿱,{88},𭥴)	
會	21569	(⿱,{88},(⿱,(⿻,𫩏,丷),曰))	
左	12437	(⿸,𠂇,工)	
𫩏	0	(⿴,囗,丨)	.
幺	3	幺	..
殳	0	(⿱,𠘧,又)	
殳	0	(⿱,几,又)	
廿	382	(⿱,卄,一)	.
开	3895	(⿱,一,廾)	^
呀	21223	(⿰,口,牙)	
⺊		⺊	..
舌	91	(⿱,千,口)	
舌	91	(⿱,干,口)	
尸	101	(⿰,丿,{50})	.
国	20918	(⿴,囗,玉)	
亡	796	(⿱,亠,𠃊)	.
亡	796	(⿱,亠,㇄)	.
個	18953	(⿰,亻,固)	
出	19790	(⿱,屮,凵)	.
欠	466	(⿱,(⿰,㇒,乛),人)	
他	20400	(⿰,亻,也)	
𠫔	0	(⿱,一,厶)	
礻	0	礻	..
咁	20243	(⿰,口,甘)	
⺼		⺼	..
以	18460	(⿻,人,(⿰,𠄌,丶))	
屮	0	(⿻,凵,丨)	.
屮	0	(⿻,凵,丿)	.
固	721	(⿴,囗,古)	
好	19635	(⿰,女,子)	
本	14173	(⿻,木,一)	
主	8546	(⿱,丶,王)	
主	8546	(⿱,亠,土)	
入	8106	入	..
㐄	0	(⿻,(⿱,一,𠃋),丨)	.
㐄	0	{48}	.
年	19487	(⿱,𠂉,{48})	^
年	19487	(⿱,𠂉,㐄)	^
或	3925	(⿹,戈,(⿱,口,一))	
从	3321	(⿰,人,人)	
青	1796	(⿱,龶,⺝)	
青	1796	(⿱,龶,月)	
犬	125	(⿺,大,丶)	
自	13623	(⿱,㇒,目)	
𠃊	0	𠃊	..
夂	0	夂	..
相	6816	(⿰,木,目)	
尼	778	(⿸,尸,匕)	
言	3790	(⿳,亠,二,口)	.
合	9139	(⿱,{88},口)	
合	9139	(⿱,𠆢,𠮛)	
门	2013	(⿲,丨,丶,𠃌)	.
门	2013	(⿻,冂,丨)	.
旦	263	(⿱,日,一)	
㐅	0	㐅	..
其	6011	(⿱,{94},八)	
重	7605	(⿳,㇒,車,一)	.
重	7605	(⿻,𢆍,二)	.
未	3889	(⿻,一,木)	.
矢	108	(⿱,𠂉,大)	^
