	element	sub_ids	regions	elm_type	stroke	freq2	count2	dep2
8173	㒶	⿱八白	GTJ		7	0.0	0	('㒶', '𠆌')
8174	㒴	⿱入出	GTJ		7	0.0	0	('㒴', '𡌜', '𢭧')
8175	㑈	⿰亻东	G		7	0.0	0	('㑈', '\U0002ec6a')
8176	㪯	⿱文𰀁	GTP		7	0.0	0	('㪯', '𫔤', '𫔳', '𬮌', '𱠆', '𲈫', '𲈾', '𲈿')
8177	㧎	⿰扌牙	GTP		7	0.0	0	('㧎', '𦯙')
8178	㧍	⿰扌方	GTV		7	0.0	0	('㧍', '𨓓')
8179	㤀	⿱亾心	Z		7	0.0	0	('㤀', '𦯌', '𧧴')
8180	㤀	⿱兦心	KP		7	0.0	0	('㤀', '𦯌', '𧧴')
8181	㠻	⿱耂巾	GT		7	0.0	0	('㠻', '𰻪')
8182	㞵	⿱山文	GT		7	0.0	0	('㞵', '𭚱', '\U0002eca3')
8183	㞱	⿱山日	GTK		7	0.0	0	('㞱', '𢧬', '𱽀')
8184	㠪	⿱一上	GTJ		4	0.0	0	('㠪', '𧖬', '𱺋')
8185	㕛	⿱又又	GTJP		4	0.0	0	('㕛', '𠚿', '𠭹', '𠭺', '𡚛', '𡚛', '𡥍', '𡧕', '𢼅', '𢿚', '𣦪', '𣦪', '𥾤', '𦜚', '𦜚', '𧦀', '𨊿', '𨠈', '𨱣', '𩢃')
8186	㕕	⿱厶厶	GT		4	0.0	0	('㕕', '𠬆', '𠬆', '𡮟', '𡮟')
8187	㔫	⿸𠂇匕	J		4	0.0	0	('㔫', '𬽩', '𭜏', '𭩝', '𱚭')
8188	㓀	⿱冖卜	K		4	0.0	0	('㓀', '𰋈')
8189	㐧	⿽⿹⿻乛亅㇒丶	J		4	0.0	0	('㐧', '𮡪')
8190	㐋	⿱土乙	K		4	0.0	0	('㐋', '𩿆')
8191	㐊	⿱士乙	K		4	0.0	0	('㐊', '𥑄')
8192	匁	⿻勹乂	GHTJK		4	0.0	0	('匁', '𠇢', '𢜓', '𢪤', '𥐷', '𥸼', '𮈅', '𮈅')
8193	仐	⿱𠆢十	GTJ		4	0.0	0	('仐', '𠦵', '𠦵', '𡷶', '𡻆', '𥝺', '𨥞', '𱊶')
8194	仏	⿰亻厶	GTJKP		4	0.0	0	('仏', '𮡫')
8195	亖	⿱二二	GMTJ		4	0.0	0	('亖', '𡆨')
8196	乣	⿰幺乚	GTJKP		4	0.0	0	('乣', '𥄩')
8197	丒	⿱⿹𠃌㐅一	JP		4	0.0	0	('丒', '𫞈')
8198	丒	⿱刃一	GT		4	0.0	0	('丒', '𫞈')
8199	夶	⿰大大	GTJ		6	0.0	0	('夶', '𠀤', '𡘙', '𧫭', '𧨌')
8200	芆	⿱艹叉	G		6	0.0	0	('芆', '𬂵', '𬫗')
8201	癿	⿰白乚	GHTKP		6	0.0	0	('癿', '𮎲')
8202	犱	⿰犭丸	JK		6	0.0	0	('犱', '𭄣', '𰞕', '𰞖')
8203	犱	⿰犭⿻九丶	T		6	0.0	0	('犱', '𭄣', '𰞕', '𰞖')
8204	犱	⿰犭{20}	G		6	0.0	0	('犱', '𭄣', '𰞕', '𰞖')
8205	灳	⿹勹火	GT		6	0.0	0	('灳', '𪹌', '𬊟')
8206	灮	⿱火儿	GHTJKP		6	0.0	0	('灮', '𣴕', '𤱦')
8207	汣	⿰氵久	GT		6	0.0	0	('汣', '𦮛')
8208	汑	⿰氵乇	GTP		6	0.0	0	('汑', '𥁩')
8209	旫	⿰日刀	GTP		6	0.0	0	('旫', '𤈌')
8210	忛	⿰忄凡	GHT		6	0.0	0	('忛', '𥭂')
8211	弎	⿹弋三	GHTJKP		6	0.0	0	('弎', '𪲃')
8212	庅	⿸广么	GT		6	0.0	0	('庅', '𰓥', '𰦺')
8213	帇	⿻肀冂	GTJ		6	0.0	0	('帇', '𢄥', '𢄥', '𢑩', '𥏚', '𥬬', '𧲁', '𨕤', '𮌣', '𲅺')
8214	岀	⿱山山	GT		6	0.0	0	('岀', '𡖕', '𡛛', '𣻮')
8215	夻	⿱大口	GKP		6	0.0	0	('夻', '𠱑', '𠹧', '𠾃', '𠿧', '𡂦', '𡃬', '𡧶', '𥙗', '𥫐', '𦿹', '𧆱', '𪓡', '𫬁', '𭊨', '𱪖')
8216	𠂨	⿱㇒⿻⺆卄	G		6	0.0	0	('𠂨', '𦐷')
