21014	刖	6
23416	學	16
21241	勹	2
25919	政	9
20204	们	5
24230	度	9
22309	圥	5
40657	黑	12
37326	野	11
27604	比	4
27604	比	4
27604	比	4
27604	比	4
27861	法	8
133390	𠤎	2
27513	歹	4
31038	社	7
31038	社	7
24847	意	13
21655	咗	8
39029	页	6
30332	發	12
24029	川	3
26081	旡	4
26081	旡	4
21482	只	5
22827	夫	4
141043	𢛳	11
20840	全	6
20840	全	6
22764	壬	4
22764	壬	4
21304	匸	2
20867	冃	4
35199	西	6
27599	每	7
23448	官	8
23448	官	8
20570	做	11
12740	㇄	1
21247	勿	4
39340	馬	10
30032	畐	9
38291	間	12
38750	非	8
38750	非	8
38750	非	8
38750	非	8
20012	丬	3
151789	𥃭	7
33311	舟	6
33311	舟	6
20116	五	4
38754	面	9
38754	面	9
26126	明	8
11958	⺶	6
38283	開	12
20170	今	4
20170	今	4
23398	学	8
35282	角	7
35282	角	7
25165	才	3
25165	才	3
24308	廴	2
30693	知	8
25903	支	4
34915	衣	6
26178	時	10
27700	水	4
27700	水	4
23436	完	7
22252	囬	7
178769	𫩑	5
186023	𭚧	7
26368	最	12
26368	最	12
29996	甬	7
20043	之	3
177984	𫝀	3
24318	廾	3
30098	疒	5
27714	求	7
27668	气	4
32895	聿	6
19972	丄	2
19972	丄	2
30452	直	8
30452	直	8
28982	然	12
36067	賣	15
21874	啲	11
133917	𠬝	4
20805	充	6
21578	告	7
184514	𭃂	4
29357	犭	3
139661	𢆍	8
23433	安	6
20195	代	5
22240	因	6
20869	内	4
22235	四	5
22235	四	5
26989	業	13
156494	𦍎	8
33391	良	7
33391	良	7
35828	说	9
21271	北	5
21608	周	8
21608	周	8
36942	過	11
196614	𰀆	4
21407	原	10
40888	龸	5
36889	這	10
20358	來	8
20873	冉	5
21521	向	6
21521	向	6
20877	再	6
34920	表	8
26102	时	7
20849	共	6
33287	與	13
19971	七	2
38618	雚	17
38618	雚	17
23389	孝	7
36763	辛	7
36763	辛	7
20171	介	4
26356	更	7
20855	具	8
20855	具	8
24190	幾	12
24190	幾	12
21046	制	8
22806	外	5
24314	建	8
36215	起	10
36215	起	10
29238	父	4
21068	剌	9
23560	專	11
21895	喇	12
23545	对	5
20804	兄	5
26140	昜	9
29247	爿	4
22914	如	6
21363	即	7
32681	義	13
21839	問	11
26007	斗	4
21519	吏	6
21519	吏	6
20117	井	4
24179	平	5
24179	平	5
131236	𠂤	6
131236	𠂤	6
22238	回	6
31561	等	12
20351	使	8
196838	𰃦	3
21517	名	6
35937	象	11
35937	象	11
131206	𠂆	2
30058	番	12
25945	教	11
21205	動	11
21457	发	5
20303	住	7
40885	龵	3
37329	金	8
139286	𢀖	5
22836	头	5
30528	着	11
30528	着	11
37193	酉	7
37193	酉	7
20133	亥	6
38021	钅	5
26481	東	8
21463	受	8
40635	麻	11
40635	麻	11
24403	当	6
24615	性	8
21462	取	8
20064	习	3
40670	點	17
36890	通	10
21673	咩	9
21322	半	5
21322	半	5
203119	𱥯	7
203119	𱥯	7
153442	𥝢	8
12736	㇀	1
24460	後	9
30475	看	9
20110	于	3
24773	情	11
24773	情	11
26465	条	7
35895	谷	7
36011	貫	11
30476	県	9
30476	県	9
27706	氺	5
24184	幸	8
27598	毎	6
22307	圣	5
20032	乀	1
13774	㗎	12
20871	冇	4
20871	冇	4
20871	冇	4
20313	余	7
20313	余	7
26366	曾	12
26366	曾	12
25171	打	5
158033	𦥑	6
132648	𠘨	2
30070	當	13
39592	骨	9
39592	骨	10
39592	骨	10
20301	位	7
21033	利	7
35914	豊	13
39135	食	9
39135	食	9
39135	食	9
22580	場	12
30005	电	5
20214	件	6
20135	产	6
23559	將	11
21153	务	5
12751	㇏	1
32654	美	9
24740	悤	11
131359	𠄟	2
36523	身	7
36523	身	7
147966	𤇾	10
23526	實	14
21574	呆	7
32147	經	13
32147	經	13
20445	保	9
24335	式	6
22905	她	6
24050	已	3
163232	𧶠	15
144351	𣏟	8
20307	体	7
21306	区	4
21306	区	4
30495	真	10
30495	真	10
139719	𢇇	11
162856	𧰨	6
35299	解	13
35910	豆	7
26519	林	8
29289	物	8
20497	們	10
27597	母	5
19970	丂	2
39532	马	3
19982	与	3
19982	与	3
25143	户	4
198340	𰛄	2
198340	𰛄	2
198341	𰛅	3
198341	𰛅	3
12743	㇇	1
21518	后	6
131211	𠂋	3
32463	经	8
187860	𭷔	6
30002	甲	5
20033	乁	1
25552	提	12
20123	些	8
20449	信	9
140200	𢎨	5
136663	𡗗	5
20845	六	4
36807	过	6
38271	长	4
28961	無	12
21934	單	12
21015	列	6
36899	連	10
21483	叫	5
131172	𠁤	5
131172	𠁤	5
24456	很	9
21202	勒	11
25120	戠	12
25120	戠	12
25120	戠	12
22770	売	7
22770	売	7
20681	僉	13
36557	軍	9
22050	嘢	14
36820	返	7
22826	太	4
26088	旨	6
22175	嚟	18
27963	活	9
20184	付	5
20812	兌	7
36023	買	12
35696	議	20
21253	包	5
21253	包	5
23637	展	10
24565	念	8
30334	百	6
30334	百	6
26399	期	12
20219	任	6
38364	關	19
151637	𥁕	10
34381	虍	6
25954	敢	11
25954	敢	11
25954	敢	11
25226	把	7
22046	嘞	14
32918	肖	7
32918	肖	7
32918	肖	7
185668	𭕄	3
27663	氏	4
39136	飠	8
29694	現	11
34987	被	10
25913	改	7
27835	治	8
19990	世	5
28023	海	10
28023	海	10
20120	亘	6
24351	弟	7
24351	弟	7
39636	體	22
21514	吊	6
21320	午	4
21567	吿	7
38587	隻	10
26415	术	5
32645	羅	19
21329	卑	8
21329	卑	8
21329	卑	8
31532	第	11
29305	特	10
36335	路	13
26223	景	12
20908	冬	5
20908	冬	5
20841	兩	8
24517	必	5
24605	思	9
32661	羕	11
32661	羕	11
27171	樣	15
25351	指	9
26089	早	6
21525	吕	6
35498	說	14
25918	放	8
24120	常	11
24120	常	11
31354	空	8
31354	空	8
132316	𠓜	4
24061	巽	12
24061	巽	12
22830	央	5
21496	司	5
31162	禺	9
36827	进	7
36984	選	15
164368	𨈐	5
164368	𨈐	5
28857	点	9
29616	现	8
23586	尢	3
36914	進	11
21477	句	5
31181	种	9
25653	搵	13
30683	矛	5
33707	莫	10
27664	氐	5
27664	氐	5
24863	感	13
24863	感	13
21315	千	3
32769	老	6
27515	死	6
23458	客	9
24343	弗	5
197002	𰆊	2
22833	失	5
25345	持	9
25345	持	9
30007	男	7
21570	呂	7
