云	⿱二厶	二𠃋丶
文	⿱亠乂	丶一乂
牙	⿹⿻丁𠃋㇒	一亅𠃋㇒
牙	⿹⿻丁𠃊㇒	一亅𠃋㇒
𱼀	⿻夕丶	丿㇇丶丶
𫩏	⿴囗丨	囗丨
殳	⿱𠘧又	𠘧又
殳	⿱几又	𠘧又
廿	⿱卄一	一丨丨一
开	⿱一廾	一廾
欠	⿱⿰㇒乛人	㇒乛人
礻	礻	礻
⺼	⺼	⺼
以	⿻人⿰𠄌丶	人𠄌丶
从	⿰人人	人人
犬	⿺大丶	大丶
分	⿱八刀	八刀
戶	⿸𠂆{50}	𠂆{50}
戶	⿱㇒尸	𠂆{50}
贝	⿸⿵冂丿丶	冂丿丶
手	⿱㇒⿻二亅	㇒二亅
戸	⿱一尸	一尸
天	⿱一大	一大
反	⿸𠂆又	𠂆又
反	⿸厂又	𠂆又
火	火	火
𠂒	⿰㇒土	㇒十一
𠂒	⊖生一	㇒十一
巴	⿻巳丨	巳丨
牛	⿰㇒𰀁	㇒𰀁
化	⿰亻𠤎	㇒丨𠤎
化	⿰亻匕	㇒丨𠤎
爫	⿱㇒𭕄	㇒丶丶㇒
爫	⿱㇒⿲㇒丶丶	㇒丶丶㇒
元	⿱一兀	一一儿
见	⿸⿵冂丿乚	冂丿乚
𡈼	⿱㇒土	㇒十一
牜	牜	牜
龰	⿺人⺊	人⺊
车	⿻⿻一𠃋十	一𠃋十
𫧇	⿱匕匕	匕匕
𧘇	𧘇	𧘇
少	⿱𡭔㇒	𡭔㇒
少	⿱小㇒	𡭔㇒
公	⿱八厶	八𠃋丶
予	⿱龴𠄐	乛丶乛亅
夬	⿻{14}人	{14}人
为	⿻⿵力丶丶	力丶丶
比	⿰⿺乚一匕	乚一匕
比	⿰⿺乚一⿺乚一	乚一匕
比	⿰匕匕	乚一匕
比	⿰⿺乚一⿺乚㇒	乚一匕
歹	⿱一夕	一丿㇇丶
旡	⿱一⿸⿻𠃋丿乚	一𠃋丿乚
旡	⿻无丨	一𠃋丿乚
夫	⿻二人	二人
壬	⿱㇒士	㇒一丨一
壬	⿱一士	㇒一丨一
冃	⿵冂𠄠	冂𠄠
勿	⿹勹⿰丿丿	㇒𠃌丿丿
五	⿱一𫝀	一𫝀
今	⿱⿵𠆢丶乛	𠆢丶乛
今	⿱{88}乛	𠆢丶乛
支	⿱十又	十又
水	⿰㇇𰛅	㇇亅{24}
水	⿰𰛄{24}	㇇亅{24}
气	⿳𠂉一⺄	㇒一一⺄
𠬝	⿸卩又	卩又
𭃂	⿻刀二	刀二
内	⿻冂人	冂人
𰀆	⿱一䒑	一丷一
介	⿱𠆢⿰丿丨	𠆢丿丨
父	⿱八乂	八乂
{67}	{囬內}	{67}
爿	⿰⿱𠃊丆丨	𠃊一丿丨
斗	⿻十⺀	十⺀
井	⿻二⿰丿丨	二丿丨
冇	⿸𠂇冂	𠂇冂
冇	⿸𠂇⺆	𠂇冂
冇	⊖有𠄠	𠂇冂
区	⿷匚㐅	匚㐅
区	⿷匸㐅	匚㐅
户	⿱丶尸	丶尸
六	⿱亠八	丶一八
长	⿸⿺⿻一𠄌㇒乀	一𠄌㇒乀
太	⿵大丶	大丶
氏	氏	氏
午	⿱𠂉十	㇒一十
𠓜	⿰入入	入入
片	⿰丿⿱丄𠃍	丿丨一𠃍
仒	⿱𠆢⺀	𠆢⺀
尺	⿸尸㇏	尸㇏
𣥂	⊖少丶	𣥂
友	⿸𠂇又	𠂇又
円	⿵冂丄	冂丨一
什	⿰亻十	㇒丨十
专	⿱⿻一𠀁丶	一一㇉丶
无	⿱一尢	一尢
朩	⿻𬺰八	𬺰八
朩	⿻一小	𬺰八
切	⿰七刀	七刀
引	⿰弓丨	弓丨
卝	⿰↔⺊⺊	↔⺊⺊
毛	⿱㇒⿻二乚	㇒二乚
帀	⿱一巾	一冂丨
办	⿻力八	力八
夭	⿱㇒大	㇒大
𠃜	⿻尸丨	尸丨
{76}	{镸上}	{76}
丰	⿻三丨	三丨
丰	⿻⿱㇒二丨	三丨
內	⿻冂入	冂入
仑	⿱𠆢匕	𠆢匕
{11}	{氺}	{11}
亢	⿱亠几	丶一几
屯	⿻一𡳾	一凵乚
屯	⿻㇒𡳾	一凵乚
队	⿰阝人	阝人
书	⿺⿻⿱𠃍𠃌丨丶	𠃍𠃌丨丶
{15}	{𠇊右}	{15}
计	⿰讠十	讠十
㓁	⿱冖儿	冖儿
𠁣	⿰丨𫜹	丨{50}一
𠃛	⿰𰀄亅	匚一亅
仓	⿱𠆢㔾	𠆢㔾
韦	⿻⿳一一𠃌丨	一一𠃌丨
风	⿵𠘨㐅	𠘨㐅
卬	⿰{39}卩	{39}卩
升	⿱㇒廾	㇒廾
勾	⿹勹厶	㇒𠃌𠃋丶
𰀡	⿲丨丨又	丨丨又
允	⿱厶儿	𠃋丶儿
匀	⿹勹冫	㇒𠃌冫
尹	⿻{43}丿	{43}丿
勻	⿹勹二	㇒𠃌二
冄	⿻冂𠄠	冂𠄠
仍	⿰亻乃	㇒丨乃
卅	⿻一川	一丿丨丨
卅	⿻廾丨	一丿丨丨
厄	⿸厂㔾	厂㔾
𭁟	⿵{110}{111}	{110}{111}
厷	⿸𠂇厶	𠂇𠃋丶
巿	⿻一巾	一冂丨
毋	毋	毋
冈	⿵冂㐅	冂㐅
厃	⿱⺈厂	⺈厂
𡭕	⿱一小	一小
{72}	{𠀉乙}	{72}
双	⿰又又	又又
冗	⿱冖几	冖几
历	⿸厂力	厂力
乏	⿱㇒之	㇒丶{100}
禸	⿻冂厶	冂𠃋丶
{28}	⿻弋一	{28}
互	⿱一彑	一{30}一
丑	⿻{42}丨	丑
丑	？	丑
収	⿰丩又	丩又
仅	⿰亻又	㇒丨又
爪	爪	爪
凶	⿶凵㐅	凵㐅
匂	⿹勹匕	㇒𠃌匕
𠀇	⿴𠀃一	冂一一
𠀇	⊖且一	冂一一
{44}	⿱十冖	{44}
瓦	⿵⿸⿱一𠄌㇈丶	一𠄌㇈丶
瓦	⿱⿵⿸丅㇈丶㇀	一𠄌㇈丶
匹	⿷匚儿	匚儿
匹	⿷匸儿	匚儿
艺	⿱艹乙	艹乙
{95}	{𢀞下}	{95}
肀	⿻{43}丨	{43}丨
𱐩	⿱𠂉力	㇒一力
𡯃	⿸𠂇𠤎	𠂇𠤎
仁	⿰亻二	㇒丨二
冘	⿸⿻冖丿乚	冖丿乚
圡	⿷土丶	十一丶
孔	⿰子乚	了一乚
毌	毌	毌
丹	⿻⿻⺆一丶	⺆一丶
{113}	⿵冂八	{113}
扎	⿰扌乚	扌乚
乌	⊖鸟丶	乌
乌	⿹⊖{53}丶一	乌
⺗	⺗	⺗
币	⿱㇒巾	㇒冂丨
卆	⿱九十	九十
𠀉	𠀉	𠀉
𠀉	⊖丘丨	𠀉
厅	⿸厂丁	厂一亅
幻	⿰幺𠃌	幺𠃌
{65}	{龜下}	{65}
𠔾	⿱㇒⿻⺆一	㇒⺆一
𠔾	⊖舟⿱丶丶	㇒⺆一
攴	⿱⺊又	⺊又
邓	⿰又阝	又阝
仏	⿰亻厶	㇒丨𠃋丶
凤	⿵𠘨又	𠘨又
仇	⿰亻九	㇒丨九
𠔿	⿵冂人	冂人
𠂑	⿴𠂎丶	{39}丿丶
夃	⿵乃又	乃又
爻	⿱㐅乂	㐅乂
𠠵	⿺九力	九力
仆	⿰亻卜	㇒丨卜
{80}	⿱冖八	{80}
厸	⿰厶厶	𠃋丶𠃋丶
丐	⿱⿸丅一㇉	一丨一㇉
刈	⿰㐅刂	㐅刂
㝉	⿱宀一	丶冖一
兮	⿱八丂	八一㇉
尐	⿱𡭔㇝	𡭔㇝
尐	⿱小乁	𡭔㇝
尐	⿱𡭔乁	𡭔㇝
尐	⿱小乀	𡭔㇝
弔	⿻弓丨	弓丨
{112}	{臼凵}	{112}
㕚	⿻叉丶	又丶丶
卞	⿱丶下	丶一卜
仄	⿸厂人	厂人
丏	⿱丅⿰𠃊𠃌	一丨𠃊𠃌
仃	⿰亻丁	㇒丨一亅
㞢	⿱屮一	凵丨一
仌	⿱人人	人人
