ids_prim	stroke	freq2_log	elms
	13	-1	㗖㙛㙜㚠㨦㬅㮣㰹㰻㲄㴱㴻㷐㷐㷔㼫䀄䀄䅗䅟䇷䇷䇺䇾䇿䋠䋦䋦䍛䑓䝉䝱䪞䪞兾兾塩奨嫆寗寗寛廍愩搕搸晸暊暐暓楆楤楽歀溸滉碖稓稤筞筨筶筶綂綂腷腷膄膄艂蒖觧賎賎郒郒酫酭鉢鉨鉨閙閚閠頉鳫鳮鳯麁麁麁𠅸𠌶𠍘𠍘𠘂𠣻𠦶𠨣𠪔𠪕𠪕𠪘𠪘𠹈𠹜𠹝𡈏𡔲𡔷𡕝𡙢𡠋𡠓𡩟𡩟𡩟𡩠𡩹𡬺𡲬𡲬𡺰𡺳𡻎𡻕𢄔𢊁𢊁𢊂𢊃𢊆𢊊𢍢𢐌𢔸𢔸𢞍𢞍𢞭𢞭𢟍𢟍𢟍𢱭𢲛𢽿𢾍𢾕𢾟𣔵𣔾𣕡𣪧𣮿𣺎𣺦𣻌𣻌𤊸𤊽𤋁𤋃𤋎𤋮𤋯𤋱𤕤𤕤𤗚𤚖𤠗𤦲𤲢𤷭𤾇𥁼𥂀𥂁𥇘𥇡𥇨𥇴𥈀𥟦𥦮𥦮𥦴𥪖𥪖𥭗𥭛𥭭𥭴𥭷𥭽𥹷𥹺𥹺𥺀𦀓𦋅𦋐𦎍𦕾𦝚𦝚𦝲𦝲𦞅𦞅𦤔𦥳𦥳𦥷𦥷𦳃𦳊𦳝𦳪𦴋𦴋𦴋𦴹𦴼𧆾𧇀𧋠𧠪𧧑𧧬𧱈𧵩𧵽𨋬𨋰𨕞𨕞𨕥𨕵𨠭𨥲𨻶𨽶𨾱𩂕𩂜𩉨𩉩𩑙𩑤𩚴𩡱𩵎𩾕𪝣𪧟𪪷𪫕𪳄𪺕𫁒𫁒𫁾𫂁𫈦𫈧𫎴𫑨𫖻𫳭𬁅𬆪𬐧𬕍𬥈𬦮𬩺𬯻𬿫𭅞𭐖𭔺𭛂𭝤𭤁𭪿𭫄𭵜𭵜𭵝𭵝𭸢𭿃𮃔𮍛𮔉𮖄𮘌𮘎𮮰𮯙𰉒𰙔𰚃𰢅𰲡𱏵𱏵𱘥𱢒𲈩𲉜𲊦
	14	6	說對
	14	5	𨾴齊麼麼實㡭㡭疑漢趙㬎爾盡隨緊静静需種聞厭管監監輕察算㥯維維壽養廣廣滿
	14	4	厲語翟稱稱稱精精愿臧鄭賏賓賓榮領舞聚聚𠪚寧寧寧嘗圖圖寡蔡適僕歌鳳銀嘆𰯲漸獄嘉嘉臺豪赫鼻鼻罰端匱蓺蓺熏熏輔雐鲜奪耤貌蔽熊鳴𩶷模團慕寬寬寬瘦遭漏歉𮅕緒緒截頗漁䲨綠綠漫熙熙鄧舆赛稳塵鄰寢蜜蔣竭誘䡛銅酸滾複旗旗閣
	14	3	遮蔑蔑蔑蔑敲璃網網誓賔漂幣幣腐暢魄裴墮暮翠翠睿碧墜誦雒徴慚辣鄲箕夐夐熒滯魅裹僚滎瑪構構閭閭駁寨銜麽麽弊弊屢𫎇睽碩僭廖嫩彰歰歰歰凳綿綿厮滲酷酷榜摺兢霆綱綱僧僧裳裳斲隧隧暨摘槁誨閨蔓綺綺𢾰䟽閩墊箫蔥蔥慝膏膏膏疐蜚摷㕡箏綰綰䋰暠貍瑤瑤瑤漱韶碭曄綦寥蔺熬熬榴塹蔚愬綜綜綽綽槃蓼褐褐赘鳶踈磋閤
	14	2	嫚暱錚錚箋殞䓨誑墉慟阚箸箸綾綾隤豩榛緇緇蔞箇槀毓戩嫖説瞍翣摹斡榦銚嘏銓摳綵綵潢潢滬銛肇肇肇銃搴榖榖蔗綢綢綢漚犖屣鼏塾塾箩熅熇誩夤螂螂漻遬朅毄蔕奩慱髪覞慁旖旖奬綝綝緌緌箎辡瘣粽歊榼歴睾戫榑蔈鞁箄箄𢇍𢇍𢇍摠摠
	14	1	漅箑蓷蔵䐜䐜䐜蓻蓻窬窬窬窬朢朢朢寠暯曅㺒榣榣牄磈馽滷箜㷠廔漮畼蓲鈭甍甍甍隣鲞槅歋敳牓稭緐䅥䆫䆫緂緂蓴蓴緑緑様様様榫窨窨嗻箅箅㗬㼲䁔䓢䛟䛣䯉䰟僞皷稫蓸蔄蔍蔧馼𧇃綮綮綮
	14	0	膋膋膋箆箆閰閰勫㕑勭
	14	-1	㓗㝬㝬㢕㢡㣃㥷㥽㪡㪡㪣㷦䅠䅡䈁䈇䊍䋲䋲䎩䎩䓗䓤䓧䓬䚂䜹䝳䣈䦚䧻僜僡冩凴塶塷夀夀嫰嶌幚幚彅慐搻暜暦暦槖槖樋漗漗熈熈熖獚獚甉盠稨竮箒箒蔴蔴蜝辢酼関関閧雑靘靘鿿﨎𠃅𠃅𠍾𠎤𠎳𠢧𠪨𠪨𠪩𠻝𠻮𠼑𠼗𠾧𡏳𡏳𡙳𡠺𡡅𡡉𡪛𡬽𡻟𡻦𡻷𡼁𡼇𢊪𢊬𢒩𢕒𢧤𢾾𣂺𣗥𣗪𣘐𣣴𣣴𣣸𣣻𣦒𣻢𤌑𤌹𤖏𤛉𤛉𤡜𤬌𤯳𤲶𤾊𤾓𥈜𥈠𥈪𥠁𥠖𥪝𥪡𥪡𥮗𥯀𥯄𥯌𥺘𥺤𦁉𦁉𦁎𦁤𦁤𦑕𦖑𦖞𦞧𦞧𦞼𦞼𦞽𦞽𦦀𦩎𦵮𦵯𦵵𦷊𧇄𧇊𧇊𧇊𧇊𧛱𧟶𧨅𧱏𧱏𧱏𧱔𧱔𧳑𧶉𧶐𨁍𨁡𨐚𨲆𨴠𩂩𩂫𩢃𩫃𩾦𩾪𩾯𪏭𪓑𪳐𪷁𪷂𫀽𫃅𫄻𫈼𫈼𫏬𫒘𫗏𫜩𫡿𫢀𫮛𫯃𫵆𬂉𬃷𬄀𬆭𬈥𬎼𬕏𬕟𬖥𬛭𬡤𭀰𭀰𭐫𭔽𭔽𭗐𭧂𭫒𭫝𭵠𭵠𮄉𮄉𮎙𮖐𮥟𮧇𮧊𮮱𰍙𰚫𰝂𰮫𰰎𱏬𱢝𱾂𲄡
	15	5	黎賣𱔞諸樂樣𧶠臱臱賢數衛德憂暴餘餘
	15	4	遺質齒影論劍题嘼徵請請樓慮髮遲罷敵誰墨墨賜寫寫震廢確調衝儀畾劉劉巤巤險廛廛賤靚靚彈穀穀魯魯潛熱熱膚導談線線賞賞横横颜撞審慶價遷遷遷輪樊賦標篇廚選選輩駕課廟廟豫窮窮瑩盤歐熟熟撫醉緩緩箭箭劇踪罵層層慰潜鋒蕃靠靠皺暫蕩履徹趣趣鬧鬧範摩糊練練練遼踏播澄閱鋪𮥼潘戮輝緣緣噴撲
	15	3	稽稽歎鞋毅滕豬豬賭賭儉撥耦敷鴈豎膠膠潁撒蝦麃麃憎憎頡敻敻擒慧慧邁編編霄𤍾億瞢瞢瞢虢虢樞膝膝諂撩殤蕊撈噓輦蕉奭賬澜磊輟潦幡鋤樁蕪鞍瑾幢趟趟撻儋箴槽賛翦翦毆畿畿磐憧撮潭潭篆
	15	2	憨蕙緘緘緝緝暪寮廡餒餒嶲暹諄慼慼緜翬撟閬翫澍槳緹緹賚羯窳窳𢿐覩覩踖㩅蝥遹瞏閫慙頟蕨澋儂𢕪遴儇槱槱歔歔樠稺褢稾蕇骹霈槧
	15	1	賡賡憃槮蕑蝱鼒𢧵霅濈濈濈幝槾遶諑潸潸潸潸䝿䝿槷槷潐蕫𠾂蕎蕈蕈蕁皛稸蕳趠鋂頪䁝䲷厱噧潕潗潟緼緼鋞憕韯鹝羮羮槭䈎䈞嫴慸撜撢潓澑濎犘賫輚銽頢頣𦋹
	15	0	嶴嶴緙緙閲
	15	-1	㒒㙯㜦㝯㢖㢘㦄㯋㯎㵕㽓㽦䈟䋶䋶䓵䗍䝺䝾䠂䦝䰻䴡䴢僺勲匳噐墪嶚慜戯撨斳槯殢潡潪澁甎瞐緖緖緖緾緾罸蔿蕋蕐蕚蕚蕚豍貎踷踷輙輙辳醀醁醁鋠鋭霊頝黙黙𠅀𠆆𠏉𠒶𠚛𠾳𡑅𡔽𡕷𡕷𡙷𡙸𡙹𡚁𡡴𡡾𡪺𡼡𢀩𢊸𢊸𢒫𢡃𢡃𢨆𢵄𢵤𢿌𢿌𢿙𢿝𢿝𣊖𣙺𣤓𣽨𣾎𤍠𤍳𤎉𤕦𤕨𤕨𤨝𥂈𥉁𥝅𥠷𥡂𥡂𥧡𥻆𥻊𥻑𥻡𦂌𦂕𦂝𦂱𦂳𦂳𦂺𦋺𦎧𦎫𦖢𦖩𦖻𦟝𦟝𦤝𦤝𦦉𦸛𦹏𦹚𧇖𧍣𧡖𧣽𧤅𨗉𨤮𨽹𨽻𩃏𩃏𩊐𩒛𩒨𩛬𩵢𩾵𩾷𩾹𩿊𪊘𪎷𪎷𪏯𪐡𪔅𪧨𪮫𪳝𫉍𫔡𫕙𫯺𬑤𬓶𬙸𬚢𬞕𬢱𬥉𬴘𬹝𬿵𭍳𭐘𭙵𭤊𭧘𭫪𭭔𭮼𭵴𭵴𭵼𮐹𮖚𮚋𰸙𱀵𱿒𱿒𲎋
	16	5	龍龍頭還舉學興雔戰靜靜親機燕錢
	16	4	錯歷激褱褱褱盧鬳獨蕭默整謀操燒辦縣縣縣橫隱凝醒羲羲積䦨穌營營澤薛冀器器錄薄薄薦擇餐諫彊奮霍賴賴赞憶儒曉擁憲憲穆駦駦錫獲獲壁憑醜融磨颠閻輸輸憾衡衡橋篤薨薨薨頰頻頻
	16	3	篡濃謁謁濁頹錦勳鋼鴨𫲲薪曆穎鍵築築勵辨辨薩薩鮑鮑樸遽橐雕雕嬴嬴嬴翰徼廪廩燔澡薇踰踰壅蹄圜薯嬖諧縫縫閼磬熹熹霖臻黔螢噩縕縕熾縛縛𰕣橙膳膳篷薑撿擎盥輻墾錐篚閵澧霎橘薔駢鋸縠縠閹薊駮寰樵縈罹
	16	2	霓篱憙憙膩膩罃辥辥瓢閶麇頷頷甑霏衞燋篩錡褰耨耨曇鍂諼篙叡褭縢儔薏橑薜縝縝儗廧餞餞薉踶韰窶窶頴缳毇虤蹀駡録虣
	16	1	劒橦甐翯燊篹篹橧䑞䰜觱燐諞嶭諴𤴡闍闍䫉曁輲黈黈篦橤賮窻窻隷薟㙶㯥嬐懜錉𤎭頼燅燅縜縜㣈㬜䀈䀈奯篗聮頳頽麆𡚇𢿨𢿨𰏮
	16	0	薎薎薎臈臈磟穇獴燚
	16	-1	㔍㠔㢛㢣㦔㬱㯤㱅㷴㷼㽔䔍䦧䨜䮍䲽䳆儞劔厳孹嶶彜戱旙暺橆澰澷燤璚疂穐穐穒篭薫薬螎螎衟覧覧諬諹醖錿頶頺鴫𠁗𠁗𠁗𠔳𠪾𠿊𡕸𡚊𡦢𡭊𢅛𢍮𢍱𢐨𢨋𢨒𢿱𣊡𣚇𣚊𣚨𣚯𣛕𣦞𣫆𣿕𣿕𣿕𣿳𤎮𤬏𤯌𥂔𥉾𥡝𥡞𥡞𥰟𥰬𥱋𥱡𥱤𥱩𥻳𥻳𦃃𦃐𦃙𦓆𦓆𦔐𦠤𦠤𦺈𦺸𦻍𦻍𦻧𦻧𦻧𦻱𦻳𦼉𦼉𦼔𧇨𧇩𧇭𧎪𧎮𧎮𧜣𧜼𧳯𧳯𧶻𨂠𨂷𨤰𨤰𨨖𨽾𨿣𨿳𩃮𩒳𩫏𩫓𩰵𩶓𩿳𪉟𪌜𪌜𪏰𪏵𪦨𪫙𫂐𫄾𫄾𫕻𫕻𫟪𫨀𫴗𬄜𬪰𬹥𭂺𭘸𭟼𭟼𭻨𭾐𮃣𮇷𮥿𮧻𮧻𮫟𮫴𮭫𰒲𰟚𰼝𱅼𱢬𱤏𱹖𲁌{89}
	17	5	聲講雚雚點襄應應雖霝擊藏
	17	4	闌禮禮爵爵魏謝韓嬰臨鍾鮮戲濟環聯牆彌輿藍韱濕毚毚戴舊舊總總總總霜壓壓龜龜龜龜賽趨繇繁臂臂謙禦擰斂赢隸龠
	17	3	嶽藉鴻鴻翼翼翼縮縮濤儲燥擠虧虧購霞矯闊聰聰聰麋麋孺蹇謗齋齋聳擢蹈闇濫鍊鞠谿擘嚮嚮嚮盪濱縷縷歛懇糞徽罽鮪翳濯曖薰燮𬒣螽糜糜甕謨螻蟄蟄膺膺膺螫罅穗
	17	2	簋闋輾縹縹臀臀魋縶豳氈贅贅豁豁豁謇䩭嶷轄轄轄薺斁皤歜馘臆臆縻縻檜縵縵篾獮檗糝濬謟繄藂縳縳磿篲薻鞞鞞
	17	1	磻藋鮭篿謄縿縿賸賸賸䙔騀鴜貘黊黊䫏薾醟鴶黚擧㯱䨣薲謈𤾡𤾡壐鮝鮝褺褺磴䞿斵穛篸謢顀𥪴
	17	0	嬭
	17	-1	㕓㕓㕓㷿㸂㸃㻺䆸䆸䉅䔘䔡䔥䯹䳒儨檒皼穙篻簒聴膸膸賷邉邉邉鍳鍳鎾鎾闎霛顃鴹𠮎𡚖𡣍𡣍𡽫𡽽𢖍𢣭𢩠𢩠𣋓𣫍𥂮𥂰𥊽𥊽𥱾𥻿𦄐𦄨𦌔𦏁𦏁𦒋𦓃𦓈𦗕𦦙𦦙𦦚𦦚𦼪𦼫𦽦𦾈𦾓𦾔𧝑𧪟𧪟𧪟𧪬𧫏𧯽𧯽𧷏𧷏𧷗𧹳𧹳𨪆𨵩𩄎𩋘𩫖𩫗𪀲𪏽𪓔𪓔𪟺𪪧𫉬𫊣𫏛𫏼𫶝𭄘𭼩𰘴𱢭{60}
	18	5	邊離轉
	18	4	職雙瞿斷題蟲騎豐簡顏醫聶雞歸歸歸藥覆鎮雜擺翻翻擾藝獵叢闕霧巂巂額嚣
	18	3	謹謹織織璧軀闔闖繞繞壘蹙雝翹竄竄釐釐彝藜襟藪檻鵝鯀竅竅懵鞮繭繭繭繒繒簪瓊瓊瓊瓊穫穫瀉瀉謾蠆黠
	18	2	顒馥簞闐闐霤臍臍闓嚚闒禰禰㬥藟颢鬵鬵燾鞫齕簟簟鏌鬩儵儵顔罈鎔繢繢蹔蹢虩虩虩韞韞鵙繘繘羴
	18	1	擸鼀鼀饁饁檽礜彞甖藚藚䌛曛旛旛擥繠燹鎣麌麌麌𩔊蟮繙繙䇔䇔䏈䢯奰璹簛
	18	0	鵓䭉䭉竆竆鵣
	18	-1	㩥䊩䑂䑂䔲䔵䫕䬕䮕瀐爀礕藴観鎫鎫鎫鎫鎼闗馤騐騐髜鵢麏龎𠕰𠖥𠨧𡂨𡒲𡗉𡫟𡫥𡴪𡴪𡾃𡾏𢇕𢋨𢐴𢐷𣀔𣃍𣄣𣍓𣞈𣫖𤐫𤣂𥜘𥢺𥳑𥼚𦔡𦗟𦪝𦾴𧇽𧑿𧑿𧫦𨘢𨟍𨤝𨤝𨤝𨪈𨶒𨽡𩄣𩄲𩈳𩔇𩘚𩠬𩡐𩣷𩰿𩷦𪊿𪋁𪘂𪘂𪤯𫎬𫲓𫲓𬙩𬞼𭋷𭔟𭮧𮒛𮒛𮒣𮠾𮧡𰌱𱤺𲇖
	19	5	䜌䜌䜌䜌難羅關識嚴
	19	4	願麗麗麗麗麗類類辭贊懷警蘇顛壞寵靡靡勸鏡簿繫穩廬璽龐
	19	3	疆䩻夒夒夒夒顚鏢懶懶羹羹繩繩繩孽孽簽疇𦆕𦆕𦆕譖攀韻贈贈蘆轎櫟簫蘊羸羸羸蘋瀨藺臘臘顙羆麓犢犢鯨簾簾蘄
	19	2	醮櫓闞瀕瀕瀝鶂贇覈覈獺獺藶蠃蠃蠃旟旟翽韲羶瀧鼄鵪嚬
	19	1	鬊蟺䊪聼聼鏖鏖鶄鶄霪簳繴繯繯鏨鏄曡櫐簷糪嬾嬾麕麕繰繰䝐蹵騜䠣䨮爕龏
	19	0	䞈䞈蟸
	19	-1	㞡㰆㶋䉞䕌䚬䦰䫧䳡匶嚩夓夓夓夓寳瀖爂爂爂爊臋艶覇覇鵭𡃫𡄉𡖀𡖀𢋱𢖙𢸦𢸧𣞤𤔿𤛿𤳯𥃆𥣞𥨪𥨪𥽂𥽂𧀣𧀨𧁙𧈅𧬉𧸇𨶪𩅜𩌌𩔜𩔪𩸥𩸮𪂣𫠙𫤼𫿞𮆘𮢶𮪍𰘾𰟳𰥇𱌛
	20	5	覺魔
	20	4	鐘議寶黨獻釋蘭蘭護護觸騰籍飄譽𣫞灌灌
	20	3	耀競譬齡籃壤贏贏矍籌饒饒竇竇竇騫馨驀纂纂舋舋舋闡
	20	2	闥罌蘖甗轝懺躅櫬瀸鐐𪑛蠒
	20	1	㜸騳䊮籋蘥䢉嚲蘦籊鐀㰍籄譱顢
	20	-1	㒹㒹㒹㶐䕙䨇䨇䫫䳬䶗疉疉疉羺霵霵顡鶒黁𡾷𣀦𣍘𤳳𥵸𨐼𨶲𩅸𩐋𩐍𩐎𩕆𩪏𩹌𩹌𪃍𪚰𪚴𪠛𫬲𬁯𬋝𮋖𰆬
	21	5	權
	21	4	屬屬霸覽鐵露懼歡歡辯攝轟囂
	21	3	鐸蠢鶴赣纍夔夔驃蠡蠡髓鰥鰥鰥闢曩鑊鑊儼鶯齧齧
	21	2	廱竈鷄騾顥罍鐻巋嚻躑
	21	1	禴禴镾䦲譶鷊鷊灄羼䵗𢑆
	21	0	纈纈贔
	21	-1	䕟䳵䵯卛竉竉籐籖蘷蘷贑躎鑁鬘𠙳𠮓𡈹𥽘𦇏𧃰𧃰𧞻𧭛𧭛𧲏𨷈𨷖𩐐𩕍𩕘𩮴𩰥𩺃𪉷𪋘𬮔𮫗𰪠𲌥
	22	5	體聽聽
	22	4	囉讀讀驕彎籠
	22	3	疊囊懿灑鑒穰聾巖蘿轡鱉邏亹糴𱋁霽
	22	2	巒覿覿龕齪蘸孌鷟
	22	1	讃䲆鷒
	22	-1	䜟攞欎鑍龝𡿏𣠵𤴁𤴁𩁘𩆖𩆞𩦛𩱕𩺯𩺰𪄿𪅀𪅆𪅝𬯵𰥉
	23	5	變
	23	4	顯戀讎
	23	3	蠱欒鱗驛纖纖攣蠲籥籤
	23	2	鷸齏黴
	23	1	籣讐㸐
	23	-1	䶞壨躘𡖂𡖂𣡈𤓉𧄼𧄼𧄼𧅌𧥑𧰟𩕺𩴶𪘨𭨒𱪘
	24	5	靈
	24	4	觀
	24	3	鹽讒贛鷹鷹蠶羈衢鬭釀靂
	24	2	艷鱣鑫鼈鼈靃雥顰顰
	24	1	矕爤䕺黌黌
	24	-1	𠓗𡚣𡚤𣡍𣡗𦉥𧅚𩼃𮭘
	25	4	廳蠻
	25	2	鸑臠籮
	25	1	黵
	25	0	覊覊
	25	-1	欝欝𣡥𪇠
	26	3	驢釁釁釁
	26	2	龥
	26	-1	飌飌𠑲𨷷𪇼𪇼𪇼𱬲𱬲
	27	2	鑾纜纜
	27	1	灥
	27	-1	䕿豓𠨋
	28	3	豔
	28	2	鸛钁
	28	-1	𰙉𱌦
	29	3	鬱
	30	3	鸞
	30	2	爨爨爨
	30	1	驫
	30	-1	𪙹
	31	-1	𧟛
	32	2	龖
	32	-1	𤴐
	33	3	麤
	33	-1	𪛈
	36	-1	䨺
	48	1	龘
